subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,template,gm_mask,gm_mask_file,remapped,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,gm_remapping_distance_original,gm_remapping_distance_alleninf,gm_remapping_distance_cic
H0351.1009,4143,9,11281,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1283581,149,106,137,-58,-29,-16,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-59.2976597110637,-44.2461459569441,2.39568164517531,-58.964650597788,-45.5350337471613,10.3324665333018,-53,-48,3,0,0,1.9403323851761594
H0351.1009,4151,9,11305,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",1283601,152,128,137,-61,-29,-38,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-63.8525887028301,-46.2463389900064,-18.6137701860717,-62.4482937266023,-46.9367349573116,-13.2284046535902,-58.2719151987134,-45.6488999133586,-16.3277336835701,0,0,0
H0351.1009,4149,9,11289,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",1283603,143,126,137,-52,-29,-36,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-52,-46,-18,-52,-47,-11,-49.451870927572,-46.7523496432078,-15.1912006794556,1.4119373512499764,0.8959500348578119,0
H0351.1009,4142,8,11335,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",1279507,151,108,127,-60,-19,-18,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-61.412367223474,-35.2938823353195,0.155694077150483,-61.3030928596149,-38.2510233293267,3.02584183475246,-55.2173157737146,-37.541702077685,0.710545867972438,0,0,0
H0351.1009,4135,8,11319,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1283331,160,100,127,-69,-19,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-71.1221064657276,-34.6839255357747,8.23480248622258,-68.4700019693251,-36.3516164407081,12.5768772898784,-66.9909630976066,-39.5929354181101,7.11329283620004,0,0,0
H0351.1009,4143,7,11263,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1284160,149,128,110,-58,-2,-38,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-59.1838780962794,-19.3909119538699,-19.3575607996043,-58,-22,-19,-56,-19,-19,0,1.3295857788714387,0.9228977848893904
H0351.1009,4273,6,11326,CX,SIG,"short insular gyri, left",1280038,134,96,99,-43,9,-6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-44.1959743707613,-7.01556110170949,14.1714387549722,-40.3122202848936,-12.8859460304241,15.6125706069543,-39.932116861068,-12.9139639104419,12.7786274003539,0,0,0
H0351.1009,4270,6,11318,CX,LIG,"long insular gyri, left",1280037,132,104,100,-41,8,-14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-41.5739876122973,-8.27121383235028,5.71342236907343,-40.349113045222,-12.7632423178472,7.0764750310247,-38.9429697098351,-13.6856428131841,4.84506518032588,0,0,0
H0351.1009,4178,6,11310,CX,PLP,"planum polare, left",1284515,150,104,99,-59,9,-14,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-60.067689393838,-7.35729474397661,5.29534674777172,-58,-11,8,-55.8527579573142,-9.41072755152645,5.38893065314911,0,0.5879295006926775,0
H0351.1009,4135,6,11302,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1280036,158,105,99,-67,9,-15,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-67,-7,3,-68,-11,6,-64.8074885042583,-8.69534310038055,4.1822572682438,2.026658891269162,1.1685793484292892,0
