subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,original_mni_nlin6asym_x,original_mni_nlin6asym_y,original_mni_nlin6asym_z,alleninf_mni_nlin6asym_x,alleninf_mni_nlin6asym_y,alleninf_mni_nlin6asym_z,cic_mni_nlin6asym_x,cic_mni_nlin6asym_y,cic_mni_nlin6asym_z,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,distance_alleninf_mni_nlin6asym_to_original_mni_nlin6asym,distance_cic_mni_nlin6asym_to_original_mni_nlin6asym,distance_cic_mni_nlin6asym_to_alleninf_mni_nlin6asym,distance_original_mni_sym09c_to_original_mni_nlin6asym,distance_original_mni_sym09c_to_alleninf_mni_nlin6asym,distance_original_mni_sym09c_to_cic_mni_nlin6asym,distance_alleninf_mni_sym09c_to_original_mni_nlin6asym,distance_alleninf_mni_sym09c_to_alleninf_mni_nlin6asym,distance_alleninf_mni_sym09c_to_cic_mni_nlin6asym,distance_alleninf_mni_sym09c_to_original_mni_sym09c,distance_cic_mni_sym09c_to_original_mni_nlin6asym,distance_cic_mni_sym09c_to_alleninf_mni_nlin6asym,distance_cic_mni_sym09c_to_cic_mni_nlin6asym,distance_cic_mni_sym09c_to_original_mni_sym09c,distance_cic_mni_sym09c_to_alleninf_mni_sym09c
H0351.1009,4143,9,11281,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1283581,149,106,137,-58,-29,-16,-58,-46,3,-56.8835029503224,-50.558670012282704,8.7822807177113,-52.6597082776594,-51.1748962841966,1.13439831758182,-59.2976597110637,-44.2461459569441,2.39568164517531,-58.964650597788,-45.5350337471613,10.3324665333018,-53.4518610300111,-49.1837920843167,1.53052809634555,7.447335647145245,7.666729215860755,8.758440583872424,2.263873981483838,9.298642940127287,9.677851825797974,7.410250323307744,5.654305697223356,12.49659177527381,8.04765066126063,5.742947657964435,8.139678843021445,2.1792018537669144,7.700792307393226,11.008106397992284
H0351.1009,4151,9,11305,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",1283601,152,128,137,-61,-29,-38,-61,-46,-19,-60.428384489274904,-47.1811317674547,-14.3294093789232,-55.8710755916473,-45.5740410532634,-17.3196257687534,-63.8525887028301,-46.2463389900064,-18.6137701860717,-62.4482937266023,-46.9367349573116,-13.2284046535902,-58.2719151987134,-45.6488999133586,-16.3277336835701,4.851415596903933,5.4139601187983155,5.682710533719346,2.889138050470825,5.56370016793939,8.113651818546808,6.023814401312876,2.3134334944091792,7.864783740451376,5.608105998496254,3.834934839052207,3.315327175767744,2.5987467318769935,6.0602651015137665,5.357844449470424
H0351.1009,4149,9,11289,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",1283603,143,126,137,-52,-29,-36,-52,-46,-17,-50.4460967164651,-46.752918060778,-10.4618695200308,-47.3456283932878,-46.5657111401198,-14.9212787082142,-53.3945811075658,-46.0988405442672,-18.1973351592705,-51.1312735939517,-47.0559922959284,-10.788090209776,-49.451870927572,-46.7523496432078,-15.1912006794556,6.7622962959285156,5.128770452686298,5.434545110846235,1.8407165459124342,8.304143920840213,6.894950541037303,6.360631143173334,0.8171543819084098,5.626253847870042,7.806126510536448,3.214147902226896,4.832707156232927,2.1316541498614936,5.000888142775929,4.722284826712228
H0351.1009,4142,8,11335,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",1279507,151,108,127,-60,-19,-18,-60,-36,1,-59.6814014920839,-38.5574655354074,5.1594808841836,-53.6753012679292,-37.6569353373872,1.45089988054023,-61.412367223474,-35.2938823353195,0.155694077150483,-61.3030928596149,-38.2510233293267,3.02584183475246,-55.2173157737146,-37.541702077685,0.710545867972438,4.893201017731831,6.553667634692167,7.116021894339696,1.7905964988450833,6.21973472725176,8.192909566458427,3.2968457909622657,2.6974442182276155,7.8113114947168505,4.122423061198637,5.033358461230954,6.38379663534661,1.7144128744615241,6.613563076671489,6.549840821812961
H0351.1009,4135,8,11319,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1283331,160,100,127,-69,-19,-10,-69,-36,9,-67.2093410947741,-37.866354665317296,13.1507022686167,-65.0678347494085,-40.9776307650429,8.63999489623089,-71.1221064657276,-34.6839255357747,8.23480248622258,-68.4700019693251,-36.3516164407081,12.5768772898784,-66.9909630976066,-39.5929354181101,7.11329283620004,4.8906102251473955,6.353608051005404,5.883244801575114,2.6116881671363323,7.042986488929014,8.742374529672567,3.632985436351673,2.052552760817589,6.9623123531365305,5.354294053820603,4.52825331842451,6.283238233601772,2.8189755280177424,6.513256286062331,6.522611423333185
H0351.1009,4143,7,11263,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",1284160,149,128,110,-58,-2,-38,-58,-19,-19,-56.6224844193263,-21.23889975139,-15.313293149405697,-54.494866241334,-18.7866574746476,-17.9444632401088,-59.1838780962794,-19.3909119538699,-19.3575607996043,-58.0461530193869,-21.5235525234089,-17.7595702179371,-55.8556815077715,-18.7733638769229,-18.1170795268705,4.5279165930913505,3.666829086655851,4.1789122198697335,1.2970077979496448,5.131461516426043,4.934450360894397,2.8123146132377443,2.84466711223636,4.487361999834114,2.897610748277062,2.330024525679449,3.8115707921945226,1.3717839813779806,3.6051424309033657,3.5340509249914867
H0351.1009,4273,6,11326,CX,SIG,"short insular gyri, left",1280038,134,96,99,-43,9,-6,-43,-8,13,-39.6281476833837,-13.814554467084598,14.6099331506233,-39.5922048060682,-13.6425423050074,11.9296202625008,-44.1959743707613,-7.01556110170949,14.1714387549722,-40.3122202848936,-12.8859460304241,15.6125706069543,-39.932116861068,-12.9139639104419,12.7786274003539,6.911607370593328,6.6781033632335856,2.686067246471646,1.9420976794785934,8.202659859054936,8.374802936597675,6.15809658786512,1.5282509027026518,3.828182787194421,7.184833054815613,5.797236763764507,2.063284120683782,1.1692646416818306,7.410233466401984,2.8594575906351873
H0351.1009,4270,6,11318,CX,LIG,"long insular gyri, left",1280037,132,104,100,-41,8,-14,-41,-9,5,-40.0818096619608,-13.5453655442872,6.36590670881637,-38.6052672678848,-14.6198566252614,4.09704568390119,-41.5739876122973,-8.27121383235028,5.71342236907343,-40.349113045222,-12.7632423178472,7.0764750310247,-38.9429697098351,-13.6856428131841,4.84506518032588,4.8341620334088296,6.1751809563542235,2.912462682160227,1.1702830999047484,5.519873832761704,7.192443213795949,4.3471134244697565,1.0899886148789646,3.919823212356996,4.8514482558135255,5.119631528317947,1.9051491026972478,1.2435158032798155,6.082132898812661,2.7941459652721234
H0351.1009,4178,6,11310,CX,PLP,"planum polare, left",1284515,150,104,99,-59,9,-14,-59,-8,5,-57.3397859046427,-11.5055276265108,8.21995500296865,-55.0523126318463,-10.1240744709686,5.19681481434563,-60.067689393838,-7.35729474397661,5.29534674777172,-58.0982163582337,-10.8817484823998,8.56747794965558,-55.8527579573142,-9.41072755152645,5.38893065314911,5.041145207569043,4.487166587730696,4.034888275378021,1.280726508374674,5.762172067933048,5.728767988348363,4.673819313329263,1.0416762318667265,4.605753943683531,5.1968683641785205,3.470814278068458,3.822844273516983,1.0892589416939338,4.689455326268103,4.160426531673888
H0351.1009,4135,6,11302,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",1280036,158,105,99,-67,9,-15,-67,-8,4,-65.59686799739801,-11.265719984356403,6.68158715862435,-63.2674353168425,-9.44604191260755,4.29170064313252,-68.699611923329,-6.93046843023361,4.10173995681561,-67.5060428674082,-10.3674078758858,6.84935931692411,-64.8074885042583,-8.69534310038055,4.1822572682438,4.452484264121511,4.013497924775377,3.801189610500023,2.0107037294096584,5.922587060745174,5.9893854185240185,3.7389233679500644,2.116615417501226,5.035506637630571,4.559229320002966,2.3073418468085793,3.671049878551988,1.7167674213636595,4.27432922784903,4.1462548887442345
